Taxon_name	Attribute
Globicatella	facultatively anaerobic
Rarobacter 	facultatively anaerobic
Suttonella 	aerobic
Anaerobiospirillum	anaerobic
Sphingomonas 	aerobic
Sulfobacillus 	aerobic
Lachnospira	anaerobic
Phyllobacterium	aerobic
Sinorhizobium	aerobic
Rikenella	anaerobic
Acetohalobium	anaerobic
Thermonema	aerobic
Desulfobacula	anaerobic
Colwellia	facultatively anaerobic
Geotoga	anaerobic
Petrotoga	anaerobic
Marinomonas	aerobic
Thermodesulfovibrio	anaerobic
Arcanobacterium	facultatively anaerobic
Herbidospora	aerobic
Hydrogenovibrio	aerobic
Natronococcus	aerobic
Planobispora	aerobic
Alicyclobacillus	aerobic
Amphibacillus 	facultatively anaerobic
Dolosigranulum	facultatively anaerobic
Saccharococcus	aerobic
Microlunatus 	aerobic
Veillonella	anaerobic
Photorhabdus	facultatively anaerobic
Syntrophobacter	anaerobic
Rhodothermus	aerobic
Janthinobacterium	aerobic
Aminobacter	aerobic
Burkholderia 	aerobic
Leptotrichia 	aerobic
Sebaldella	anaerobic
Kingella 	aerobic
Kingella 	facultatively anaerobic
Halothermothrix	anaerobic
Thauera	aerobic
Zymobacter	facultatively anaerobic
Catenuloplanes	aerobic
Agromyces	aerobic
Microbacterium	aerobic
Acetobacterium	anaerobic
Melissococcus 	anaerobic
Caryophanon	aerobic
Kineococcus	aerobic
Luteococcus	facultatively anaerobic
Exiguobacterium	facultatively anaerobic
Acidomonas	aerobic
Rhodovulum	aerobic
Rahnella	facultatively anaerobic
Telluria	aerobic
Variovorax	aerobic
Riemerella 	aerobic
Filibacter	aerobic
Streptobacillus 	aerobic
Streptobacillus 	anaerobic
Sporichthya	facultatively anaerobic
Dactylosporangium	aerobic
Nitrococcus	aerobic
Nitrospina	aerobic
Bilophila	anaerobic
Desulfacinum	anaerobic
Holophaga	anaerobic
Dermabacter	facultatively anaerobic
Desulfuromusa	anaerobic
Dietzia	aerobic
Thermocrispum	aerobic
Blastococcus	aerobic
Methylomicrobium	aerobic
Desulforhabdus	anaerobic
Actinokineospora	aerobic
Oligotropha	aerobic
Stenotrophomonas	aerobic
Desulforhopalus	anaerobic
Actinosynnema	aerobic
Succiniclasticum	anaerobic
Ewingella	facultatively anaerobic
Chromohalobacter	aerobic
Spirilliplanes	aerobic
Halobacteroides	anaerobic
Halanaerobacter	anaerobic
Ammonifex	anaerobic
Kutzneria	aerobic
Promicromonospora	aerobic
Syntrophus	anaerobic
Halobaculum 	aerobic
Caldicellulosiruptor	anaerobic
Paenibacillus 	aerobic
Paenibacillus 	facultatively anaerobic
Oxalophagus	anaerobic
Leucothrix	aerobic
Desulfonema	anaerobic
Desulfohalobium	anaerobic
Salinicoccus	aerobic
Methanoculleus	anaerobic
Geovibrio	anaerobic
Pseudobutyrivibrio	anaerobic
Oenococcus	facultatively anaerobic
Weissella	facultatively anaerobic
Orenia	anaerobic
Devosia	aerobic
Dethiosulfovibrio	anaerobic
Hydrogenophaga	aerobic
Pedomicrobium	aerobic
Lautropia	aerobic
Microbulbifer	aerobic
Marinobacterium	aerobic
Thermothrix	aerobic
Ralstonia 	aerobic
Kineosporia	aerobic
Psychroserpens	aerobic
Gelidibacter	aerobic
Acetomicrobium	anaerobic
Anaerobaculum	anaerobic
Acidocella	aerobic
Acidisphaera	aerobic
Desulfofustis	anaerobic
Syntrophobotulus	anaerobic
Tetragenococcus	facultatively anaerobic
Natroniella	anaerobic
Polaribacter	aerobic
Polaromonas	aerobic
Desulfonatronovibrio	anaerobic
Pseudoalteromonas 	aerobic
Desulfocapsa	anaerobic
Desulfospira	anaerobic
Pantoea	facultatively anaerobic
Terrabacter	aerobic
Intrasporangium	aerobic
Catellatospora	aerobic
Pilimelia	aerobic
Friedmanniella	aerobic
Lonepinella	facultatively anaerobic
Sulfophobococcus	anaerobic
Pfennigia 	facultatively anaerobic
Propioniferax 	facultatively anaerobic
Janibacter	aerobic
Humicoccus	aerobic
Nakamurella	aerobic
Deferribacter	anaerobic
Acidimicrobium	aerobic
Octadecabacter 	aerobic
Methylosphaera	aerobic
Pyrolobus 	facultatively anaerobic
Ignicoccus	anaerobic
Ferroglobus	anaerobic
Aneurinibacillus	aerobic
Brevibacillus 	aerobic
Schwartzia	anaerobic
Bogoriella 	aerobic
Dehalobacter	anaerobic
Couchioplanes	aerobic
Aeropyrum	aerobic
Amaricoccus	aerobic
Malonomonas	anaerobic
Microvirgula 	aerobic
Kocuria 	aerobic
Nesterenkonia	aerobic
Dermacoccus	aerobic
Kytococcus	aerobic
Vogesella	aerobic
Moritella	facultatively anaerobic
Actinocorallia	aerobic
Glycomyces	aerobic
Planotetraspora	aerobic
