Parent_name	ph_category
Humibacter	neutrophile
Hungatella	neutrophile
Hydrogenobacter	neutrophile
Hydrogenovibrio	neutrophile
Hyphomicrobium	neutrophile
Idiomarina	neutrophile
Ignavibacterium	neutrophile
Ilumatobacter	neutrophile
Imtechella	neutrophile
Indibacter	alkaliphile
Janibacter	alkaliphile
Janthinobacterium	neutrophile
Jonquetella	neutrophile
Joostella	neutrophile
Kaistia	neutrophile
Kangiella	neutrophile
Kiloniella	acidophile
Kineosphaera	neutrophile
Kocuria	alkaliphile
Komagataeibacter	neutrophile
Kordia	neutrophile
Kordiimonas	neutrophile
Kosmotoga	neutrophile
Kribbella	neutrophile
Ktedonobacter	neutrophile
Kurthia	neutrophile
Labrenzia	neutrophile
Lachnoclostridium	neutrophile
Lacticaseibacillus	acidophile
Lactobacillus	neutrophile
Lactococcus	neutrophile
Lamprocystis	neutrophile
Leeia	neutrophile
Legionella	neutrophile
Leifsonia	neutrophile
Lentibacillus	neutrophile
Lentilactobacillus	neutrophile
Leptospira	neutrophile
Leptospirillum	acidophile
Leuconostoc gelidum	neutrophile
Lewinella	neutrophile
Ligilactobacillus	neutrophile
Limimaricola	neutrophile
Limosilactobacillus	neutrophile
Liquorilactobacillus	neutrophile
Listeria	neutrophile
Longispora	neutrophile
Lysinibacillus	neutrophile
Mahella	neutrophile
Mannheimia	neutrophile
Marichromatium	neutrophile
Maridesulfovibrio	neutrophile
Marinilabilia	neutrophile
Marinithermus	neutrophile
Marinitoga	neutrophile
Marinobacter	neutrophile
Marinobacterium	neutrophile
Mariprofundus	neutrophile
Maritimibacter	alkaliphile
Martelella	neutrophile
Massilia	neutrophile
Megamonas	neutrophile
Meiothermus	alkaliphile
Mesoflavibacter	alkaliphile
Methanobrevibacter	neutrophile
Methanocaldococcus	neutrophile
Methanocella	neutrophile
Methanococcus	neutrophile
Methanocorpusculum	neutrophile
Methanoculleus	neutrophile
Methanofollis	neutrophile
Methanohalophilus	neutrophile
Methanolacinia	neutrophile
Methanolinea	neutrophile
Methanolobus	neutrophile
Methanomassiliicoccus	neutrophile
Methanomethylovorans	neutrophile
Methanoplanus	neutrophile
Methanopyrus	neutrophile
Methanoregula	acidophile
Methanosalsum	alkaliphile
