Taxon_name	Attribute
Carboxydothermus	gram stain positive
Cardiobacterium	gram stain negative
Carnimonas	gram stain negative
Carnobacterium	gram stain positive
Caryophanon	gram stain positive
Catellatospora	gram stain positive
Catenibacterium	gram stain positive
Catenococcus	gram stain negative
Catenulispora	gram stain positive
Catenuloplanes	gram stain positive
Catonella	gram stain negative
Caviibacter	gram stain negative
Cecembia	gram stain negative
Cedecea	gram stain negative
Celeribacter	gram stain negative
Cellulomonas	gram stain positive
Cellulophaga	gram stain negative
Cellulosilyticum	gram stain positive
Cellulosimicrobium	gram stain positive
Cellvibrio	gram stain negative
Centipeda	gram stain negative
Cephaloticoccus	gram stain negative
Cerasibacillus	gram stain positive
Cerasicoccus	gram stain negative
Cetobacterium	gram stain negative
Chelatobacter	gram stain negative
Chelatococcus	gram stain negative
Chitinophaga	gram stain negative
Chloracidobacterium	gram stain negative
Chlorobium	gram stain negative
Chloroflexus	gram stain negative
Chloroherpeton	gram stain negative
Chromatium	gram stain negative
Chromobacterium	gram stain negative
Chromohalobacter	gram stain negative
Chryseobacterium	gram stain negative
Chryseoglobus	gram stain positive
Chrysiogenes	gram stain negative
Chthoniobacter	gram stain negative
Chthonomonas	gram stain negative
Citricoccus	gram stain positive
Citrobacter	gram stain negative
Citromicrobium	gram stain negative
Clavibacter	gram stain positive
Cloacibacterium	gram stain negative
Coenonia	gram stain negative
Cognatishimia	gram stain negative
Cohnella	gram stain positive
Collinsella	gram stain positive
Colwellia	gram stain negative
Comamonas	gram stain negative
Compostibacillus	gram stain positive
Compostimonas	gram stain positive
Conexibacter	gram stain positive
Conyzicola	gram stain positive
Coprobacillus	gram stain positive
Coprococcus	gram stain positive
Coprothermobacter	gram stain negative
Coraliomargarita	gram stain negative
Coriobacterium	gram stain positive
Corynebacterium	gram stain positive
Costertonia	gram stain negative
Couchioplanes	gram stain positive
Craurococcus	gram stain negative
Croceibacter	gram stain negative
Croceifilum	gram stain positive
Crocinitomix	gram stain negative
Crossiella	gram stain positive
Cryobacterium	gram stain positive
